id,ra,dec,class,subclass
12187655800150715920900060103,149.25016,1.04919,QSO,AGN BROADLINE
7995135200150715920900060103,149.04238,1.3236645,STAR,A8V (155514)
7995134000150715920900060103,149.12054,1.2722147,STAR,F3/F5V (30743)
7995021200150715920900060103,149.24013,1.219459,QSO,BROADLINE
7995133900150715920900060103,149.14231,1.2727576,QSO,BROADLINE
7995135800150715920900060103,149.15215,1.3212995,STAR,F0IV (81937)
7995025600150715920900060103,149.26457,1.3613534,STAR,G0 (G_101-29)
7994577500150715920900060103,149.97004,0.72270549,STAR,F3/F5V (30743)
7995008300150715920900060103,149.5026,1.037919,STAR,F0IV (81937)
7995009300150715920900060103,149.47075,1.0881633,STAR,F0IV (81937)
7995012800150715920900060103,149.55055,1.1412551,QSO,BROADLINE
7995013000150715920900060103,149.61464,1.1412053,QSO,BROADLINE
7994968300150715920900060103,149.83781,0.92753971,STAR,F3/F5V (30743)
7995012400150715920900060103,149.64221,1.108408,STAR,F2V (33256)
7995013500150715920900060103,149.67748,1.1312887,STAR,F0IV (81937)
7995023600150715920900060103,149.34871,1.2496471,QSO,BROADLINE
7995011900150715920900060103,149.3922,1.1697152,GALAXY,
7995016400150715920900060103,149.59891,1.2099199,QSO,STARBURST BROADLINE
7995027700150715920900060103,149.42127,1.4448571,STAR,F8V (G_243-63)
7995041400150715920900060103,149.60743,1.441292,QSO,BROADLINE
7995028000150715920900060103,149.78608,1.215965,STAR,F3/F5V (30743)
7995033300150715920900060103,149.70074,1.350701,QSO,BROADLINE
7994997700150715920900060103,149.85647,1.259075,QSO,BROADLINE
7995030700150715920900060103,149.89346,1.3330813,QSO,
7994999100150715920900060103,149.9593,1.3162636,STAR,G1V (95128)
7995042500150715920900060103,149.70954,1.5252246,GALAXY,
7995041800150715920900060103,149.73426,1.4713456,QSO,BROADLINE
7994963900150715920900060103,149.96726,0.79166058,STAR,F3/F5V (30743)
7994595000150715920900060103,150.28619,0.95854059,QSO,BROADLINE
7994983400150715920900060103,150.12148,1.0291436,QSO,BROADLINE
7994984500150715920900060103,150.23124,1.0845882,QSO,BROADLINE
7994988000150715920900060103,150.33207,1.0838307,QSO,BROADLINE
7994600100150715920900060103,150.48786,1.1023379,QSO,BROADLINE
7995422100150715920900060103,150.55862,1.1596791,QSO,BROADLINE
7994995100150715920900060103,150.00735,1.1933251,STAR,F2V (33256)
7994995000150715920900060103,150.0557,1.200889,QSO,BROADLINE
7994991800150715920900060103,150.22021,1.2239836,QSO,BROADLINE
7994992500150715920900060103,150.27028,1.2392454,QSO,BROADLINE
7995000500150715920900060103,150.25898,1.3301531,QSO,BROADLINE
7995038500150715920900060103,149.97825,1.5351367,QSO,STARBURST BROADLINE
7995036500150715920900060103,150.05708,1.5096345,QSO,BROADLINE
7995789000150715920900060103,150.2252,1.4419463,QSO,BROADLINE
7995787300150715920900060103,150.28197,1.4108879,QSO,BROADLINE
7995423100150715920900060103,150.54219,1.2303856,STAR,F3/F5V (30743)
7995778800150715920900060103,150.53236,1.2575546,QSO,
7995421000150715920900060103,150.63735,1.1757922,STAR,F3/F5V (30743)
7995779700150715920900060103,150.54017,1.3014172,STAR,F3/F5V (30743)
7995781600150715920900060103,150.37628,1.3663693,STAR,F2V (33256)
7995788200150715920900060103,150.35546,1.4723167,QSO,BROADLINE
7995782000150715920900060103,150.51977,1.3948901,STAR,F3/F5V (30743)
7995782300150715920900060103,150.49809,1.4139241,QSO,BROADLINE
7995783400150715920900060103,150.63303,1.3993832,STAR,F3/F5V (30743)
8002046900150715920900060103,148.54606,2.0850508,STAR,F3/F5V (30743)
8002046200150715920900060103,148.61772,2.078145,QSO,BROADLINE
8002058900150715920900060103,148.62664,2.2572397,QSO,BROADLINE
7995176900150715920900060103,148.65632,1.5975798,STAR,A2II (39866)
7995149100150715920900060103,148.93441,1.5759705,QSO,BROADLINE
7995150000150715920900060103,148.91446,1.5967771,GALAXY,STARFORMING
7995185100150715920900060103,148.85936,1.7809593,QSO,BROADLINE
7995151500150715920900060103,149.01241,1.5955658,STAR,F3/F5V (30743)
7995154200150715920900060103,149.05751,1.6917572,STAR,F0IV (81937)
7995152600150715920900060103,149.21643,1.6446337,STAR,A4V (136729)
7995154300150715920900060103,149.13808,1.7124997,STAR,F3/F5V (30743)
7995183400150715920900060103,149.00455,1.8100754,STAR,F2V (33256)
7995198200150715920900060103,149.11429,1.8998679,QSO,BROADLINE
7995166800150715920900060103,149.27142,1.8304219,QSO,BROADLINE
7995192600150715920900060103,148.74272,1.9380578,QSO,BROADLINE
7995193000150715920900060103,148.79505,1.9751156,QSO,BROADLINE
7995209900150715920900060103,148.76317,2.0709324,QSO,BROADLINE
8002056800150715920900060103,148.75592,2.1511278,STAR,F3/F5V (30743)
8002046100150715920900060103,148.70676,2.241553,QSO,BROADLINE
8002060000150715920900060103,148.74969,2.2897032,STAR,F6V (16673)
7995211400150715920900060103,148.85268,2.1567465,STAR,F3/F5V (30743)
7995210700150715920900060103,148.92064,2.1276851,QSO,BROADLINE
8002061000150715920900060103,148.87732,2.2813493,QSO,BROADLINE
7995214100150715920900060103,148.93318,2.2594657,STAR,F3/F5V (30743)
7995198500150715920900060103,149.20647,1.9338414,GALAXY,
7995203900150715920900060103,149.1764,2.0984491,QSO,BROADLINE
7995214900150715920900060103,149.11432,2.2966776,STAR,F3/F5V (30743)
7995205800150715920900060103,149.23415,2.2208604,QSO,BROADLINE
8002072200150715920900060103,148.75161,2.5717568,STAR,F3/F5V (30743)
8002069700150715920900060103,148.84291,2.5048653,STAR,sd:F0 (G_84-29)
7995215600150715920900060103,149.06172,2.3730407,QSO,BROADLINE
8002838100150715920900060103,149.04873,2.4198152,GALAXY,STARBURST
7995984900150715920900060103,149.15266,2.3160223,STAR,F3/F5V (30743)
7995986400150715920900060103,149.19226,2.4833338,GALAXY,
8002841300150715920900060103,149.00431,2.5842929,QSO,BROADLINE
8002839800150715920900060103,149.13575,2.5469924,QSO,BROADLINE
8002844700150715920900060103,149.1807,2.6048923,QSO,BROADLINE
8002844900150715920900060103,149.25661,2.64925,QSO,BROADLINE
8002852200150715920900060103,148.91558,2.7139529,QSO,BROADLINE
8002850600150715920900060103,148.9632,2.7215469,QSO,STARBURST BROADLINE
8002857700150715920900060103,148.96789,2.7999143,STAR,F8V (G_243-63)
8002855600150715920900060103,149.09023,2.8166299,QSO,BROADLINE
8002854900150715920900060103,149.17798,2.8035221,QSO,BROADLINE
8002855400150715920900060103,149.17355,2.851705,STAR,F3/F5V (30743)
8002863500150715920900060103,149.25961,2.8293897,STAR,F3/F5V (30743)
8002874200150715920900060103,149.23673,3.0516052,GALAXY,
7995155700150715920900060103,149.45824,1.5650345,QSO,BROADLINE
7995158200150715920900060103,149.31085,1.6874173,QSO,BROADLINE
7995156700150715920900060103,149.49333,1.60801,STAR,F3/F5V (30743)
7995156900150715920900060103,149.54533,1.6681004,QSO,BROADLINE
7995162200150715920900060103,149.44351,1.7964539,STAR,F8V (G_243-63)
7995169000150715920900060103,149.41073,1.8918317,GALAXY,
7995160600150715920900060103,149.59244,1.7567143,QSO,BROADLINE
7995168100150715920900060103,149.4816,1.8807945,STAR,F2V (33256)
7995049000150715920900060103,149.68725,1.7191674,QSO,BROADLINE
7995039000150715920900060103,149.89061,1.5606203,STAR,F3/F5V (30743)
7995039100150715920900060103,149.91331,1.5547064,GALAXY,
7995048000150715920900060103,149.82375,1.6993224,STAR,F0V (90277)
7995163100150715920900060103,149.64993,1.8658539,QSO,BROADLINE
3490667100150715920900060103,149.85156,1.773282,GALAXY,
7995170700150715920900060103,149.36725,1.9702176,QSO,
7995973400150715920900060103,149.41675,2.1017777,STAR,A4V (97603)
7995939400150715920900060103,149.5831,1.9848571,STAR,F3/F5V (30743)
7995942200150715920900060103,149.49794,2.0766572,QSO,BROADLINE
7995940700150715920900060103,149.58521,2.0511068,QSO,BROADLINE
7995204700150715920900060103,149.30573,2.1542748,STAR,M4.5:III (123657)
7995974100150715920900060103,149.39086,2.1619952,QSO,BROADLINE
7995932100150715920900060103,149.70233,1.9516628,STAR,F2V (33256)
7995933100150715920900060103,149.74451,2.0275131,QSO,BROADLINE
7995941400150715920900060103,149.66359,2.0852038,QSO,BROADLINE
7995945000150715920900060103,149.79297,2.125623,QSO,STARBURST BROADLINE
7995934700150715920900060103,149.95584,2.0280496,QSO,BROADLINE
7995936500150715920900060103,149.90954,2.0805726,QSO,BROADLINE
7995947600150715920900060103,149.70025,2.1853383,STAR,F2V (33256)
7995945900150715920900060103,149.7182,2.1460362,STAR,F0IV (81937)
7995948000150715920900060103,149.73895,2.2206952,QSO,BROADLINE
7995978000150715920900060103,149.63864,2.2889769,QSO,BROADLINE
7995949700150715920900060103,149.7615,2.318439,QSO,BROADLINE
7995945400150715920900060103,149.82794,2.1643029,QSO,BROADLINE
7995938800150715920900060103,149.91244,2.2003221,QSO,BROADLINE
7995814500150715920900060103,150.07796,1.5574924,STAR,M1 (204445)
7995819200150715920900060103,150.05644,1.6274789,QSO,BROADLINE
7995826000150715920900060103,149.99159,1.7242795,QSO,BROADLINE
7995818300150715920900060103,150.18185,1.6692202,QSO,BROADLINE
7995818200150715920900060103,150.22072,1.6781044,STAR,F3/F5V (30743)
7995830700150715920900060103,150.10163,1.8483229,QSO,BROADLINE
7995831200150715920900060103,150.13911,1.8769668,QSO,BROADLINE
7995831700150715920900060103,150.24517,1.9000639,QSO,BROADLINE
7995794600150715920900060103,150.38402,1.5724528,QSO,BROADLINE
7995822000150715920900060103,150.37655,1.7178578,QSO,BROADLINE
